trial_id,strategy,repeat_id,val_accuracy,train_loss,train_time_min,lora_rank,learning_rate,lora_targets,max_steps
317,optuna,5,0.332,2.6131803512573244,21.1,4,1.7e-05,medium,200
318,optuna,4,0.406,0.7535136198997497,21.0,32,0.000141,medium,200
319,optuna,5,0.38,0.7424576449394226,24.6,16,0.000364,full,200
320,optuna,4,0.334,1.169291603565216,29.6,8,4.4e-05,minimal,200
321,optuna,5,0.334,1.8286522674560546,20.0,8,1.4e-05,minimal,200
322,optuna,4,0.386,0.8727611184120179,40.6,32,8e-05,medium,200
323,optuna,5,0.38,0.896634132862091,38.2,16,5.8e-05,minimal,200
325,optuna,5,0.378,0.917334418296814,14.8,8,0.000258,minimal,200
326,optuna,5,0.37,0.9272147631645202,15.0,8,0.000209,minimal,200
324,optuna,4,0.386,0.8971995806694031,40.7,4,0.000319,medium,200
328,optuna,4,0.394,0.6768804359436035,25.8,16,0.000312,full,200
327,optuna,5,0.4,0.7896399736404419,35.1,64,6.1e-05,medium,200
329,optuna,4,0.374,0.9201737880706787,34.5,64,1.5e-05,medium,200
330,optuna,5,0.416,0.6748300290107727,46.4,32,0.000132,full,200
331,optuna,4,0.396,0.8025431966781617,20.9,16,0.00039,minimal,200
333,optuna,4,0.382,0.8352806735038757,15.6,32,0.000137,medium,200
334,optuna,4,0.37,0.8889534330368042,19.6,16,0.000171,minimal,200
332,optuna,5,0.436,0.6139213418960572,46.8,32,0.000114,full,200
335,optuna,4,0.388,0.7374825072288513,20.8,16,0.000471,minimal,200
337,optuna,4,0.338,1.16171804189682,19.5,4,0.000133,minimal,200
336,optuna,5,0.41,0.7183064079284668,46.5,32,0.000106,full,200
338,optuna,4,0.382,0.7037080121040344,25.9,16,0.00022,full,200
340,optuna,4,0.402,0.7766649079322815,15.6,32,9.4e-05,medium,200
339,optuna,5,0.416,0.679634404182434,46.9,64,4.8e-05,full,200
341,optuna,4,0.388,0.772383587360382,15.7,32,0.000102,medium,200
343,optuna,4,0.398,0.7978158521652222,15.6,32,8.2e-05,medium,200
344,optuna,4,0.392,0.7685616993904114,15.7,32,0.000188,medium,200
342,optuna,5,0.33,1.5305308246612548,46.6,4,2.9e-05,full,200
345,optuna,4,0.328,1.1300328540802003,15.6,32,1.1e-05,medium,200
346,optuna,5,0.432,0.620220193862915,45.9,32,9.8e-05,full,200
347,optuna,5,0.468,0.5434308993816376,45.6,32,0.000488,full,200
348,optuna,5,0.434,0.6111634445190429,39.7,32,0.000488,medium,200
349,optuna,5,0.344,1.046895773410797,28.3,4,3.2e-05,full,200
350,optuna,6,0.346,1.1117301869392395,30.6,8,8.5e-05,minimal,200
351,optuna,7,0.402,0.7196630573272705,39.4,64,0.000304,minimal,200
353,optuna,7,0.338,1.7307203006744385,15.5,16,2.4e-05,minimal,200
352,optuna,6,0.32,1.9207140159606935,24.5,4,1.7e-05,full,200
355,optuna,6,0.328,2.5432095909118653,17.0,4,1.8e-05,minimal,200
354,optuna,7,0.346,1.122062268257141,41.2,64,1.2e-05,medium,200
356,optuna,6,0.376,0.8081320667266846,19.8,64,7.7e-05,minimal,200
357,optuna,7,0.392,0.7674525713920594,38.8,64,2.5e-05,full,200
358,optuna,6,0.366,0.9460764861106873,38.3,64,1.8e-05,full,200
359,optuna,7,0.4,0.8877297019958497,18.1,4,0.000349,medium,200
360,optuna,6,0.39,0.866980094909668,18.0,64,8.1e-05,medium,200
362,optuna,6,0.388,0.6405726742744445,20.3,64,0.000294,full,200
361,optuna,7,0.438,0.6340910816192626,29.3,16,0.000425,full,200
364,optuna,7,0.324,1.6653197479248047,16.5,8,1.9e-05,medium,200
363,optuna,6,0.428,0.6465702867507934,29.2,32,0.000104,full,200
365,optuna,7,0.316,1.3053503036499023,16.5,16,1.3e-05,medium,200
366,optuna,6,0.36,0.935967526435852,21.1,16,5.4e-05,minimal,200
