trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
122	random	5	64	64	9.6e-05	2	16	0.034	0.0493	full	200	0.386	0.7459	0.043	0.703543746471405	40.5	8582.7	completed				0.0
123	random	4	32	128	8.6e-05	1	16	0.0173	0.0282	medium	200	0.404	0.7787	0.0469	0.7369949984550476	31.9	8255.4	completed				0.0
124	random	5	16	64	1e-05	4	8	0.096	0.095	minimal	200	0.332	0.6516	0.0273	1.7056011390686034	23.9	8832.2	completed				0.0
125	random	4	64	128	0.000112	4	4	0.0973	0.0541	medium	200	0.398	0.7623	0.0508	0.7834569978713989	17.9	8885.3	completed				0.0
126	random	5	4	8	5.1e-05	1	4	0.0147	0.0386	full	200	0.334	0.6516	0.0312	1.0407509922981262	17.6	9385.4	completed				0.0
127	random	4	32	64	0.000185	1	4	0.0249	0.0489	medium	200	0.406	0.75	0.0781	0.792814404964447	15.7	9428.0	completed				0.0
128	random	5	4	4	4.5e-05	4	8	0.0202	0.0965	medium	200	0.332	0.6475	0.0312	1.6605923938751221	25.1	10019.1	completed				0.0
129	random	4	32	64	0.000411	1	8	0.0693	0.0844	medium	200	0.388	0.7336	0.0586	0.7436337852478028	21.2	10033.5	completed				0.0
130	random	5	8	8	0.000162	1	4	0.0087	0.0153	full	200	0.38	0.7254	0.0508	0.8331432819366456	17.6	10612.5	completed				0.0
131	random	4	64	64	3.8e-05	1	4	0.0269	0.0514	medium	200	0.346	0.668	0.0391	0.9737259554862976	16.0	10655.9	completed				0.0
132	random	5	32	64	1.7e-05	4	8	0.084	0.0162	minimal	200	0.33	0.6475	0.0273	1.4344921159744262	23.8	11242.6	completed				0.0
133	random	4	64	64	0.000106	4	8	0.0262	0.081	medium	200	0.398	0.7541	0.0586	0.7921458292007446	25.6	11311.5	completed				0.0
135	random	4	4	8	2.3e-05	2	8	0.0711	0.0554	medium	200	0.328	0.6434	0.0273	1.8260981845855713	22.7	11778.9	completed				0.0
134	random	5	8	32	0.000187	4	8	0.0042	0.016	full	200	0.404	0.7664	0.0586	0.6626179528236389	27.8	11866.0	completed				0.0
